"","Fold.change","Gene"
"1348",0.147435915953992,"L3MBTL3"
"1349",0.462647024610244,"P2RX6"
"1350",0.449471303044287,"EPS8L2"
"1351",0.0893610179598543,"AASDH"
"1352",0.041129649949978,"TOR2A"
"1353",0.371103449272626,"WIPI2"
"1361",0.448906600820987,"MRPL28"
"1363",0.0193878748120202,"UNC5B"
"1364",0.174434715614296,"PPP1R21"
"1366",0.254222944103759,"MBD6"
"1367",0.305520240841361,"RRN3"
"1372",0.549029387755258,"SGIP1"
"1373",0.270751487620347,"AC069547.1"
"1375",0.0730652004379539,"PI4KA"
"1376",0.419960497809418,"C12orf79"
"1384",0.491818117139717,"ATP6V1C1"
"1385",0.0758645801869373,"RP11-190A12.7"
"1386",0.225924983239883,"ATRIP"
"1387",0.44023908509666,"C7orf60"
"1391",0.206973660864787,"PLEKHM2"
"1395",0.143051958100045,"AP3S2"
"1396",0.338637375434873,"NFATC2IP"
"1400",0.170744222163833,"DHX16"
"1403",0.204303262663904,"HDAC6"
"1407",0.193983471080007,"TRIM66"
"1410",0.145869362080557,"CASC3"
"1411",0.0344834423329896,"CSNK1G3"
"1412",0.121008631574841,"RP11-139J15.7"
"1416",0.0951837291707056,"CTD-2192J16.20"
"1420",0.206183740430156,"SUMO3"
"1421",0.412358428524753,"BCAP29"
"1422",0.0776858069017927,"TCP10L"
"1425",0.282797457109462,"GAK"
"1432",0.012856622219612,"DEDD2"
"1433",0.213898305463015,"NIPA2"
"1435",0.113717910975858,"MAP2K1"
"1436",0.484977115451297,"ZNF688"
"1437",0.134045329889437,"COX11"
"1438",0.302014675832385,"USP40"
"1439",0.198641590914058,"SAP30L"
"1442",0.187251276847814,"ENSA"
"1447",0.282165536751551,"SS18"
"1448",0.317860533454917,"TMEM258"
"1451",0.472760612020538,"PPFIBP2"
"1453",0.178687671104659,"FAM27A"
"1457",0.365417143015122,"BNIP2"
"1459",0.363068562908648,"PIP4K2C"
"1461",0.263393149795419,"SYT8"
"1462",0.227807934458029,"ELK4"
"1464",0.428102868149784,"SEC16B"
"1468",0.547587352860553,"TNRC6B"
"1471",0.315123366654982,"MGST1"
"1472",0.288991221117957,"NBPF9"
"1479",0.311637724771996,"FMO4"
"1482",0.17148132478366,"FAM131B"
"1483",0.146871359225176,"CHRNE"
"1484",0.485230342471166,"PIK3CB"
"1485",0.412985590138069,"AIM1"
"1488",0.10766722864348,"SRSF4"
"1489",0.511811005971913,"SGSH"
"1490",0.28942805688115,"SYNRG"
"1491",0.432945758867273,"AXIN1"
"1492",0.535025575382768,"DIAPH1"
"1493",0.577257693711685,"MRPS23"
"1495",0.215130695094041,"FAM19A2"
"1497",0.531298008208365,"CPSF2"
"1499",0.295258480822042,"PDGFRA"
"1500",0.496684975033025,"C10orf76"
"1502",0.289891451516592,"AC005841.1"
"1503",0.096402473168272,"AKAP1"
"1508",0.129840796007903,"TTC3"
"1511",0.295097828044805,"KAAG1"
"1512",0.0729140888412232,"SUPT6H"
"1513",0.578187412108029,"CHD1"
"1515",0.0473748947686001,"ZNF397"
"1517",0.195033391203328,"C2orf76"
"1518",0.0483389965362129,"ASNA1"
"1519",0.150146561734746,"FDXACB1"
"1520",0.189100705842819,"RIMBP3B"
